Country;State;City;Address;Store;Localization
Venezuela;Barinas;Barinas;Avenida Los Andes;Joyeria Paola;C.C. El Dorado, Local 38 y 39, 1o Nivel
Venezuela;Bolivar;Puerto Ordaz;8050, Puerto Ordaz;Frida Plata y Fantasia;Orinokia Mall Center, NIVEL PB LOCAL PB-083, URB.
Venezuela;Carabobo;Guacara;Avenida Nueva Valencía;Mestizarte Regalos;
Venezuela;Carabobo;Valencia;Calle Carlos D. Cardenas L.;Joyeria Croix;C.C. Sambil Valencia, Nivel Feria local F-48
Venezuela;Carabobo;Valencia;Avenida Naguanagua, Paseo La Granja;Joyeria Croix;C.C. El Cristal, PB Local PS-10
Venezuela;Carabobo;Valencia;Av. Universidad;Joyeria Alquimia (Inv. Canas);C.C. Omnicentro,  Local MT 04 Urb. La Granja Naguanagua
Venezuela;Carabobo;Valencia;Autopista Barquisimeto - Acarígua;Pokers;C.C. La Granja, Nivel PB Local SC-16
Venezuela;Carabobo;Valencia;Av. Intercomunal;Mini Carte;C.C. San Diego, Local L-18
Venezuela;Carabobo;Valencia;Av. Mañongo, El Trigal;Con K;C.C. Patio Trigal, Nave Central - Local 303
Venezuela;Carabobo;Valencia;Av. Mañongo, El Trigal;Joyeria Carte C.A.;C.C. Patio Trigal, Nave Central - PB Local 304
Venezuela;Carabobo;Valencia;Av. Mañongo, El Trigal;Carte Taller de Orfebreria C.A.;C.C. Patio Trigal, Local 2003 A1
Venezuela;Carabobo;Valencia;130, Av. Cabriales;Accesorios MIA;C.C. La Trigaleña Plaza, nave B  Nivel PB, local  L6-B2
Venezuela;Carabobo;Valencia;Av. Bolívar Norte;Carte Joyas C.A.;Multicentro El Viñedo, Nivel C - Local C-36
Venezuela;Carabobo;Valencia;Av. Bolívar Norte;Corporacion Carte;Multicentro El Viñedo, 1er Nivel - C-58-59
Venezuela;Carabobo;Valencia;2001,Av. 137;D'Amico Joyas;C.C. La Galeria, Nivel 2 Local 2-D-1
Venezuela;Carabobo;Valencia;Av Andrés Eloy Blanco;Yihad Joyas;C.C. Shopping Center, Nivel 3 - Local 302
Venezuela;Distrito Capital;Caracas;Av. Fco. de Miranda;Bellissima Bijoux;Unicentro El Marques, Nivel 2 - Local 230
Venezuela;Distrito Capital;Caracas;Av. Don Diego Cisneros;Joyeria Los Ruices;C.C. Los Ruices, Local 14
Venezuela;Distrito Capital;Caracas;;Joyas Millenium;C.C. Milenium
Venezuela;Distrito Capital;Caracas;;IBIS;Centro Plaza
Venezuela;Distrito Capital;Caracas;;Renaissance Joyas;C.C. Letonia
Venezuela;Distrito Capital;Caracas;;Diseños Yvanna;Centro Ciudad Comercial Tamanaco (C.C.C.T.)
Venezuela;Distrito Capital;Caracas;;Eurogold Joyeros (Europlatinum);C.C. Valle Arriba Market Center
Venezuela;Distrito Capital;Caracas;;Q'Sean;C.C. Concresa
Venezuela;Distrito Capital;Caracas;;Joyeria Wynn;C.C. Manzanares Plaza
Venezuela;Distrito Capital;Caracas;;Eurogold Joyeros;C.C. Galerias Los Naranjos
Venezuela;Distrito Capital;Caracas;;Novedades Gema's;C.C. Plaza Las Americas
Venezuela;Distrito Capital;Caracas;;Joyeria Anyelli's;C.C. Macaracuay Plaza
Venezuela;Distrito Capital;Caracas;;Mario Boutique;C.C. La Villa (Montalban)
Venezuela;Distrito Capital;Caracas;;Magnetic;Multiplaza Paraiso (under construction)
Venezuela;Distrito Capital;Caracas;;Joyeria MEMO;Metrocenter
Venezuela;Distrito Capital;Caracas;;Joyeria Beticxa 3000;C.C. Los Proceres
Venezuela;Distrito Capital;Caracas;;Noalmi;C.C. Parque Caracas
Venezuela;Distrito Capital;Caracas;;Inversiones Hace 2014;Mini Centro Candilito
Venezuela;Distrito Capital;Caracas;;Aero Boutique;Aeroporto Internacional Caracas
Venezuela;Lara;Barquisimeto;;Joyeria Riazzor;Ciudad Comercial Ciudad Las Trinitarias  
Venezuela;Lara;Barquisimeto;;Armenia Joyeria Boutique;C.C. Sambil Barquisimeto
Venezuela;Lara;Barquisimeto;;Joyeria Riazzor;C.C. Sambil Barquisimeto
Venezuela;Lara;Barquisimeto;;Joyeria Lamda;C.C. Capital Plaza
Venezuela;Lara;Cabudare;;Artes Sayegs D Lara;"Comercial Terepaima ""Cabudare"""
Venezuela;Merida;Merida;;Il Tempo (Joyeria Paola C.A.);C.C. Plaza Mayor
Venezuela;Miranda;Los Teques;;Itamax 925;C.C. Vasconia (cerca del metro)
Venezuela;Miranda;Los Teques;;Joyeria y Accesorios San Francisco;C.C. Lider
Venezuela;Miranda;Los Teques;;Dreams and Illusions;C.C. Nuievos Teques
Venezuela;Miranda;San Antonio de Los Altos;;Regalos Erik;C.C. Los Altos
Venezuela;Miranda;San Antonio de Los Altos;;JOTA & Dè;C.C. Galerias Las Americas
Venezuela;Monagas;Maturin;;JOYAS D'MICHELLUZ;C.C. Monagas Plaza
Venezuela;Monagas;Maturin;;EXCLUSIVIDADES NINA 3007;Ciudad Comercial La Cascada Maturin
Venezuela;Monagas;Maturin;;Zompopo;C.C. Virgen del Valle
Venezuela;Nueva Esparta;Isla Margarita;;OM C.A.;Hotel La Samanna
Venezuela;Nueva Esparta;Isla Margarita;;IMPORTADORA - EXPORTADORA DEL  CARIBE, C.A.;Dunes Hotel & Beach Resort
Venezuela;Nueva Esparta;Isla Margarita;;Karakateri;Hesperia Isla Margarita (Juan Griego)
Venezuela;Nueva Esparta;Isla Margarita;;El Yaque;Aeropuerto de Isla Margarita
Venezuela;Nueva Esparta;Isla Margarita;;Mas de El Yaque;Aeropuerto de Isla Margarita
Venezuela;Nueva Esparta;Isla Margarita;;Blanca Joyeria;Av. 4 de Mayo
Venezuela;Portuguesa;Acarigua;;Joyeria Paola;C.C. Llano Mall
Venezuela;Sucre;Cumaná;;Kamilas Accesorios;C.C. Express Mall
Venezuela;Sucre;Cumaná;;Tienda UK;C.C. Cumaná Plaza
Venezuela;Tachira;San Cristobal;;Tienda Carletto;C.C. Plaza San Cristobal
Venezuela;Zulia;Maracaibo;;Joyeria Plaza;Mall Delicias Plaza
Venezuela;Zulia;Maracaibo;;Via del Corso;Mall Delicias Plaza
Venezuela;Zulia;Maracaibo;;Geneli Joyas;C.C. Paseo Delicias
Venezuela;Zulia;Maracaibo;;Regalos Hope;Sector Tierra Negra
Venezuela;Aragua;Maracay;;Citrino y mas;C.C. Regional
Venezuela;Distrito Capital;Caracas;;La Capotina;C.C. Galerias Prados del Este
Venezuela;Zulia;Maracaibo;;Mayor de Relojeria;SECTOR 5 DE JULIO
Venezuela;Distrito Capital;Caracas;;Joyeria RA (Regalos Adriani);C.C. City Market
